Wavenumbercm-1,00:00:10
4000,9.78131946460271E-06
3996,-0.000203822203270538
3992,-0.000342053369473881
3988,-0.000320520653472089
3984,-0.000222607274142315
3980,-0.000110896857907183
3976,-9.49724255528113E-06
3972,8.37009509004432E-06
3968,-8.00047024273966E-05
3964,-0.000115238174912566
3960,5.40903344098595E-05
3956,0.000309427603157995
3952,0.00038228644320927
3948,0.000207631430656782
3944,-2.50521003168155E-05
3940,-0.000192588781512786
3936,-0.000352714105138539
3932,-0.000521566664850649
3928,-0.00057517027716051
3924,-0.000439846215919997
3920,-0.000231056886231766
3916,-0.000114598092336239
3912,-0.000118020474659124
3908,-0.00017744475789467
3904,-0.000246991432753609
3900,-0.000307748329960616
3896,-0.000354436798548909
3892,-0.000396504181962933
3888,-0.000437768212573055
3884,-0.000469186958975167
3880,-0.000507476279813191
3876,-0.000584287799403748
3872,-0.000650308705805274
3868,-0.00058173307892835
3864,-0.000379542027729455
3860,-0.00021322968544757
3856,-0.00017296631787996
3852,-0.000147460925883295
3848,-5.6225270506707E-05
3844,-4.23213131997605E-05
3840,-0.000224824555491793
3836,-0.000429888431005931
3832,-0.000372732640912422
3828,-0.000129026441377567
3824,1.07028503385461E-05
3820,-3.34357595760786E-05
3816,-7.21062395753023E-05
3812,-1.41309207079646E-06
3808,3.97737564515094E-05
3804,-4.68500411080839E-05
3800,-0.000155825137861776
3796,-0.000162132495414432
3792,-0.000128742885272754
3788,-0.000132517569340194
3784,-0.000142043749532044
3780,-0.000135333723190139
3776,-0.000174424849400475
3772,-0.000266566748989594
3768,-0.000279127691284355
3764,-0.000120634799527309
3760,9.54879384131812E-05
3756,0.000202063494322372
3752,0.000150231317746706
3748,5.26125707872449E-06
3744,-0.000141490184811635
3740,-0.000204752806848423
3736,-9.36322376064587E-05
3732,0.000165798061918764
3728,0.000373620612358224
3724,0.000406153377270565
3720,0.000361061081508089
3716,0.000358030037827029
3712,0.000325749497350878
3708,0.000110504619886476
3704,-0.00022238931452743
3700,-0.000428540898437854
3696,-0.000383172962397871
3692,-0.000152187283559347
3688,0.00012512315694201
3684,0.000376097159997811
3680,0.000600837816839962
3676,0.000765001629733464
3672,0.000826929002025958
