Wavenumbercm-1,00:01:10
4000,-0.000512287537767471
3996,-0.000785779616280933
3992,-0.000950772006308759
3988,-0.000920270089966209
3984,-0.000799227852800652
3980,-0.000733952674421952
3976,-0.000747057258027899
3972,-0.000735634909365763
3968,-0.000615165091963514
3964,-0.000446393744057962
3960,-0.000379700534881511
3956,-0.000479606234063338
3952,-0.000638665749575173
3948,-0.000669108625479845
3944,-0.000499004722060609
3940,-0.000253968751902756
3936,-0.000148222574196773
3932,-0.000287404644017651
3928,-0.000537410904218583
3924,-0.000618361230260125
3920,-0.000395701294055576
3916,-9.43557262458485E-05
3912,-6.146366597655E-05
3908,-0.00038450532241821
3904,-0.000831789754146525
3900,-0.00108679851224182
3896,-0.00111598687179524
3892,-0.00108118792710709
3888,-0.00100376444281848
3884,-0.00084640907405938
3880,-0.000746645427560399
3876,-0.00087700379758501
3872,-0.00115346825255714
3868,-0.00130422170178221
3864,-0.00123844427610162
3860,-0.00110835807790766
3856,-0.000992193757358545
3852,-0.000846191318027347
3848,-0.000738547328804384
3844,-0.000802407051202717
3840,-0.000971019147081453
3836,-0.0010022539623962
3832,-0.000829739923206899
3828,-0.000658778611155394
3824,-0.00056487056778702
3820,-0.000403448110801725
3816,-0.000146331163855847
3812,-3.70628776320939E-06
3808,-4.38905331714185E-05
3804,-9.60557180195748E-05
3800,-4.42582843976742E-05
3796,-2.77612369665806E-05
3792,-0.000161173120707482
3788,-0.00033834766424712
3784,-0.000423757837926797
3780,-0.00042190342711977
3776,-0.000393497962801675
3772,-0.00033748068786473
3768,-0.000304504095502318
3764,-0.00043879465818605
3760,-0.000715499539867332
3756,-0.000830720109343994
3752,-0.000514081074446366
3748,1.78645276438495E-05
3744,0.00027461308565743
3740,0.000271002790767728
3736,0.000334574609183793
3732,0.000478790869737086
3728,0.000501386073301603
3724,0.000432943080721758
3720,0.000450773043762401
3716,0.00055593566011165
3712,0.000619692960581051
3708,0.000664363574244345
3704,0.000817801473747022
3700,0.00103167378762505
3696,0.00115626900578058
3692,0.00116973228897735
3688,0.00113718758576752
3684,0.000997979407927864
3680,0.000631036779984987
3676,0.000138491226634824
3672,-0.000115498700308992
3668,4.29857302748872E-05
3664,0.000301834318003465
3660,0.000392966874777833
3656,0.000381817201091861
3652,0.000620193794278682
3648,0.00153473820123104
3644,0.0030723293230792
3640,0.00473090472462052
3636,0.00609658083403793
3632,0.00704503090180167
3628,0.00769904577945903
3624,0.00813862622122598
3620,0.00827532576217757
3616,0.00828836240665699
