Wavenumbercm-1,00:00:41
4000,-0.000937290222373641
3996,-0.00078581744066856
3992,-0.000607990141658911
3988,-0.000464382979437927
3984,-0.000449960721010086
3980,-0.000570305715578299
3976,-0.000684932112907365
3972,-0.000663941107812033
3968,-0.00055200000472901
3964,-0.000502011142848853
3960,-0.000555861472682848
3956,-0.00059123648532592
3952,-0.000497957535112317
3948,-0.000342666568112543
3944,-0.000298069302283399
3940,-0.000424322832604542
3936,-0.000599104283539635
3932,-0.000652619670645385
3928,-0.000540797092141598
3924,-0.000377248457965698
3920,-0.000332070329592172
3916,-0.000490318347899374
3912,-0.000796081248806666
3908,-0.00111715542138782
3904,-0.00128564356219451
3900,-0.00119885327027651
3896,-0.000980884492839848
3892,-0.000829945757064357
3888,-0.000774936270621261
3884,-0.000706292560453579
3880,-0.000560651449088727
3876,-0.000404742660260142
3872,-0.000322146443236177
3868,-0.000312956744059485
3864,-0.000328541614666183
3860,-0.000369468918120324
3856,-0.000473945222417475
3852,-0.000611806767961491
3848,-0.000689043600943491
3844,-0.000694394216811724
3840,-0.000710123745922064
3836,-0.000802780573905963
3832,-0.000938785143567133
3828,-0.00102520292062514
3824,-0.00101894110506957
3820,-0.000958445343007184
3816,-0.00094326663955356
3812,-0.0009885268828951
3808,-0.00093456472655942
3804,-0.000588745008872153
3800,-1.92270087210407E-05
3796,0.000366836961247527
3792,0.000351712917182308
3788,8.28859324874743E-05
3784,-0.000197960937947472
3780,-0.000330881813252688
3776,-0.000315636421962014
3772,-0.000246327110339047
3768,-0.000201371734278161
3764,-0.000198512232706322
3760,-0.000205097476300155
3756,-0.000198705185737104
3752,-0.000200673142924193
3748,-0.000212557721286511
3744,-0.000142217185664318
3740,6.09664865813384E-05
3736,0.000257126490254778
3732,0.000271645628330995
3728,0.000169010545601646
3724,0.000149777466011168
3720,0.000216381721154578
3716,0.00016010297155673
3712,-0.000117168755810135
3708,-0.000394687019382558
3704,-0.000404901496156282
3700,-0.000168722170197343
3696,0.000133455530096027
3692,0.000372230223977801
3688,0.000453737334715608
3684,0.000325332090453901
3680,4.96965503593261E-05
3676,-0.000260535337217335
3672,-0.000544983499126825
3668,-0.000746501992093609
3664,-0.000722833326981679
3660,-0.000320949267525369
3656,0.000545629822705755
3652,0.0017757489823749
3648,0.00303715464817488
3644,0.00410592145242229
3640,0.00495300278649314
3636,0.00552187644185534
3632,0.00589659654199706
3628,0.00649528246780068
3624,0.00767314462562618
3620,0.00920744478678926
3616,0.0106586467227025
3612,0.0118756912989698
3608,0.0128613277036314
3604,0.0136063931285946
3600,0.0142029607955649
3596,0.0147537502226139
3592,0.015137148300601
3588,0.0151941240440132
3584,0.0151838589572613
3580,0.0154492758965871
3576,0.0157989287085388
3572,0.0157434799841364
3568,0.0152324866054901
3564,0.0147410881708104
3560,0.0145059066896825
3556,0.0143191334229712
3552,0.0142244973784746
3548,0.0146197900298371
3544,0.0154549921808081
3540,0.0159812033822879
3536,0.0158003694340538
3532,0.0151936250151952
3528,0.0143815109020126
3524,0.0132940015634422
3520,0.0120219980370557
3516,0.010869389540526
3512,0.00991301893388008
3508,0.0089869153576037
3504,0.00826938296716371
3500,0.00828613703199693
3496,0.00894317898913456
3492,0.00924992579327403
3488,0.00872890999900785
3484,0.00805854786391122
3480,0.00766154824062831
3476,0.00679298086963931
3472,0.00493267329325654
3468,0.00294377718214179
3464,0.00203458920445533
3460,0.00201998631651099
3456,0.00150116878881168
3452,0.000123260810263007
3448,-0.000917473937128654
3444,-0.00085890712564828
3440,-0.000637670091163885
3436,-0.00127508940230435
3432,-0.00281122782518768
3428,-0.00489842497594837
3424,-0.00715740548183931
3420,-0.00898855662247441
3416,-0.00970443078720945
3412,-0.00960993873222001
3408,-0.0100091689067995
3404,-0.0112901658050061
3400,-0.0127416504889269
3396,-0.0142399781155046
3392,-0.0164211734288893
3388,-0.0188737564127948
3384,-0.0199127196760097
3380,-0.0195449181767027
3376,-0.0199701366076162
3372,-0.0218333869679865
3368,-0.0233395806092371
3364,-0.0233708110048401
3360,-0.0234038585050509
3356,-0.0248188193607737
3352,-0.0265047209441574
3348,-0.0265550890080415
3344,-0.0251823675889617
3340,-0.0236451924732921
3336,-0.0224527550680936
3332,-0.0219749374788674
3328,-0.0227255032997798
3324,-0.0242838813673916
3320,-0.0250823815411228
3316,-0.0244777132597137
3312,-0.0238925730417106
3308,-0.0244503007704631
3304,-0.0255267484323234
3300,-0.0262811984160409
3296,-0.0270335030701158
3292,-0.0282014768088781
3288,-0.029327576133449
3284,-0.0300103585041145
3280,-0.0305261385642407
3276,-0.0308582853426332
3272,-0.0306218124983943
3268,-0.0300976729714414
3264,-0.0300800547349618
3260,-0.030497513275575
3256,-0.0305544922318675
3252,-0.030404015296867
3248,-0.0308355099751295
3244,-0.0316626961735823
3240,-0.0321331083486327
3236,-0.0325330931272075
3232,-0.0339130901148261
3228,-0.0359877496323476
3224,-0.0372705460269383
3220,-0.0374324935064411
3216,-0.0375766217260426
3212,-0.0379697054696159
3208,-0.0378436394506667
3204,-0.0372555841159204
3200,-0.0370471704184477
3196,-0.037124921570226
3192,-0.0366912523582027
3188,-0.0359925751880785
3184,-0.0360504087224119
3180,-0.0366236700267653
3176,-0.0364242466086358
3172,-0.0352207180781868
3168,-0.0339967558649383
3164,-0.0330441281812327
3160,-0.0316046603434984
3156,-0.0295381332091813
3152,-0.0277270939127011
3148,-0.0265788782709908
3144,-0.0255904339406034
3140,-0.0244854094732011
3136,-0.0236374835712736
3132,-0.0231870142777964
3128,-0.0227119775380693
3124,-0.0219516278535012
3120,-0.0211442925372157
3116,-0.0205196578426278
3112,-0.0200670026875313
3108,-0.0198035679707537
3104,-0.0197024860174204
3100,-0.01935620039291
3096,-0.0183233716199335
3092,-0.016829457698682
3088,-0.0155301263215429
3084,-0.0146752348328314
3080,-0.0140859558577035
3076,-0.0137352416230332
3072,-0.0137407890954647
3068,-0.0138869174056016
3064,-0.0137579959221002
3060,-0.0133624503452232
3056,-0.0131177699890002
3052,-0.0131882979241039
3048,-0.0133418315689999
3044,-0.0134333245844276
3040,-0.0135650036089905
3036,-0.0137373929158667
3032,-0.0137802434013337
3028,-0.0137206097370588
3024,-0.0138550054194137
3020,-0.0144532167601848
3016,-0.0158150684131729
3012,-0.0185178531379366
3008,-0.0230088567340716
3004,-0.0287477114242483
