Wavenumbercm-1,00:00:25
4000,-0.000713564826910579
3996,-0.000666718362059748
3992,-0.00061088898181617
3988,-0.000619200028768871
3984,-0.000717971736803395
3980,-0.000828928820561547
3976,-0.000851517791244915
3972,-0.000768275502940904
3968,-0.000626392839456499
3964,-0.000467617064821134
3960,-0.00032909524059057
3956,-0.000270363584613221
3952,-0.000331642177786256
3948,-0.00047413602122741
3944,-0.000618618754337678
3940,-0.000721444877495448
3936,-0.00075540559719943
3932,-0.000681764486974148
3928,-0.000505631003892815
3924,-0.000314266083561477
3920,-0.00022163365520123
3916,-0.000284792630714029
3912,-0.000503128587028909
3908,-0.000858624615696131
3904,-0.00125149682829837
3900,-0.0014590265919466
3896,-0.00137764681099967
3892,-0.00115299687483141
3888,-0.000959685207048682
3884,-0.000888122132045941
3880,-0.000958434521393789
3876,-0.00110765959588822
3872,-0.00117555723996455
3868,-0.00102590602156117
3864,-0.000762061019271037
3860,-0.000620283421389138
3856,-0.000650494288702403
3852,-0.000679355679056521
3848,-0.000601462444610963
3844,-0.00052437528221067
3840,-0.000534397898643497
3836,-0.000585334165750131
3832,-0.000645934231638944
3828,-0.000780402459184046
3824,-0.00097515918270926
3820,-0.00106098321287393
3816,-0.000945839832670638
3812,-0.000805141193678885
3808,-0.000755766395158005
3804,-0.000668205436965112
3800,-0.000446343946895828
3796,-0.00027196660479177
3792,-0.000273789860583189
3788,-0.00029262373652319
3784,-0.000167006975270709
3780,-2.63769700978074E-05
3776,-0.00013791701334089
3772,-0.00052455613025958
3768,-0.000947031710233546
3764,-0.00118369822937903
3760,-0.00118456972444786
3756,-0.000937416747339344
3752,-0.000468525908226849
3748,-6.98695288719667E-05
3744,-7.03552465934143E-05
3740,-0.000304808273130784
3736,-0.000353638426052201
3732,-0.000108933010312473
3728,0.000171390727435987
3724,0.000280366960167521
3720,0.000243877481721459
3716,0.000160522073111865
3712,0.000106112054081227
3708,0.000141793551742741
3704,0.000268514379626604
3700,0.00041219404855905
3696,0.000511203560355999
3692,0.000536494775157491
3688,0.000427614093980608
3684,0.000133779771538493
3680,-0.000255702508096588
3676,-0.000531128866034211
3672,-0.000509731824700854
3668,-0.000222402759859673
3664,0.00023363569484522
3660,0.000929013464022455
3656,0.00190442836077387
3652,0.00291109309163338
3648,0.0035896522798673
3644,0.00402845501281187
3640,0.00451975192034095
3636,0.00513643431464316
3632,0.00589186811010096
3628,0.00677251960168653
3624,0.00750853139373469
3620,0.00788900839918007
3616,0.00836578014525574
3612,0.00965553365449955
3608,0.011535987177727
3604,0.0128075866715708
3600,0.012998459541845
3596,0.0128543944872381
3592,0.0131713743405646
3588,0.0138937582222533
3584,0.014571515271887
3580,0.0152004438427246
3576,0.0158690128157975
3572,0.016337105239031
3568,0.0164666478225243
3564,0.0165289591616565
3560,0.01660490153157
3556,0.0163677222912224
3552,0.0159047279301831
3548,0.0158282083063969
3544,0.0162361824395169
3540,0.0162916750395945
3536,0.0156687264209433
3532,0.0151931490672063
3528,0.0154147509167741
3524,0.0154761759940835
3520,0.0144069749415347
3516,0.0127537498193993
3512,0.0116946981735431
3508,0.0112154241352513
3504,0.0101994480062922
3500,0.00834400163298126
3496,0.00660202985328607
3492,0.00574071508328917
3488,0.00545821984772689
3484,0.00529783396870953
3480,0.00505230528073024
3476,0.00440372570059088
3472,0.00329210787710389
3468,0.00225973971558391
3464,0.00179692778376128
3460,0.00134190984496132
3456,-3.24945723005925E-05
3452,-0.00195077653854495
3448,-0.00301934267794737
3444,-0.00290790924615592
3440,-0.00268418164440629
3436,-0.00295182093806989
3432,-0.0035081491223912
3428,-0.00453196455679066
3424,-0.00637743747266827
3420,-0.00836604235724736
3416,-0.0092842029288391
3412,-0.00928597004418178
3408,-0.00984715667526465
3404,-0.0111161769231289
3400,-0.0117806631606307
3396,-0.0119153353533718
3392,-0.0131327805350277
3388,-0.0154725556165044
3384,-0.017312297929838
3380,-0.0183805558184811
3376,-0.0202296054715189
3372,-0.0230091917132285
3368,-0.0247983634955927
3364,-0.0248907744876801
3360,-0.0251064016379888
3356,-0.0262841224654581
3352,-0.0268481455559376
3348,-0.0262634792071987
3344,-0.0265992464490013
3340,-0.0285229869584722
3336,-0.0295942563966489
3332,-0.0281361326233127
3328,-0.0262007124368855
3324,-0.0258324017853341
3320,-0.0257989866226373
3316,-0.0243668168483291
3312,-0.022810116849923
3308,-0.0230501441776148
3304,-0.0245150685092742
3300,-0.0253415895599948
3296,-0.0253125009842394
3292,-0.0256737460377897
3288,-0.0269896112335121
3284,-0.028764235589224
3280,-0.0302195842783027
3276,-0.0307738549353541
3272,-0.0303954258693829
3268,-0.0299298097315193
3264,-0.03031169092697
3260,-0.0310669332377768
3256,-0.0308800360038536
3252,-0.0299470373130696
3248,-0.0299795202334551
3244,-0.0315452036326669
3240,-0.033385811699376
3236,-0.0344346284669468
3232,-0.0349789012136741
3228,-0.0352533634366741
3224,-0.0347823057497753
3220,-0.0339955935463215
3216,-0.0342587291809968
3212,-0.0358674000871365
3208,-0.0377301242076922
3204,-0.0389682801331011
3200,-0.0397035799253686
3196,-0.0400531422345613
3192,-0.0398149794382548
3188,-0.0393134885113054
3184,-0.0391443294693864
3180,-0.0389905470571887
3176,-0.0380590493390235
3172,-0.0365213271528587
3168,-0.0350953671718125
3164,-0.0336207228322669
3160,-0.0315292262993396
3156,-0.0291831287336661
3152,-0.0273577372288671
3148,-0.025934291892388
3144,-0.0243988235334822
3140,-0.02311117180607
3136,-0.0227009590878556
3132,-0.0227154096421154
3128,-0.0221151761557344
3124,-0.0208320886610319
3120,-0.0197645363616142
3116,-0.0192973052415937
3112,-0.0190096077113218
3108,-0.0186646562235147
3104,-0.0184437704884522
3100,-0.0182197019672705
3096,-0.0175150828544722
3092,-0.016308224511559
3088,-0.0151172957951721
3084,-0.0142202866627789
3080,-0.0134898689921534
3076,-0.0129379336243046
3072,-0.0128195717342335
3068,-0.0131418379830464
3064,-0.013569128806726
3060,-0.0138430250368311
3056,-0.0139267563023188
3052,-0.0137752825576392
3048,-0.0134132373910706
3044,-0.013171250821364
3040,-0.0133566613884045
3036,-0.013747040990463
3032,-0.0138526610078708
3028,-0.0136455062187294
3024,-0.0135933805417291
3020,-0.0140718156244658
3016,-0.0153252110854318
3012,-0.0178560946065631
3008,-0.0221368132545982
3004,-0.0277499095189056
3000,-0.0333157218436632
2996,-0.0378894356866275
2992,-0.0421038805425879
2988,-0.0469099463233234
2984,-0.051722933073904
2980,-0.0548997165092517
2976,-0.0557590839691349
2972,-0.0547272767834923
2968,-0.0521487412547844
2964,-0.048563031329191
2960,-0.0450979326454671
2956,-0.0423709996737424
