Wavenumbercm-1,00:00:11
4000,-0.00103227223718374
3996,-0.00117396475484186
3992,-0.0011273674280502
3988,-0.000983970434885717
3984,-0.000882498804506885
3980,-0.00084381730795366
3976,-0.000801780079285402
3972,-0.000738119687307278
3968,-0.000686542362014307
3964,-0.000638507886999859
3960,-0.000553467859464767
3956,-0.000457769469872448
3952,-0.000434196357265161
3948,-0.000491985346994034
3944,-0.000534780389142649
3940,-0.000499470699348184
3936,-0.000431085981467646
3932,-0.000387564514215319
3928,-0.000355950719922669
3924,-0.000318995245673268
3920,-0.000339170797483452
3916,-0.000502765093504603
3912,-0.000822808185490437
3908,-0.00124763464157918
3904,-0.00165903327360389
3900,-0.00185220708449281
3896,-0.00170920944507471
3892,-0.00134052139732736
3888,-0.000979784407555318
3884,-0.000855307203649709
3880,-0.00101042464761526
3876,-0.00124418409574929
3872,-0.00133107152391126
3868,-0.00125638448487923
3864,-0.00121112968876657
3860,-0.00129949379417536
3856,-0.00140384960525515
3852,-0.00139491508094562
3848,-0.00134667520425041
3844,-0.00134532670047506
3840,-0.00125043725029091
3836,-0.000896165638432184
3832,-0.000479488200849206
3828,-0.000350877711346534
3824,-0.000505430165463076
3820,-0.000669348743012157
3816,-0.000704618423167925
3812,-0.000774035393790789
3808,-0.000947915012724204
3804,-0.00100238762186825
3800,-0.000771899289905863
3796,-0.00055665987109581
3792,-0.00067963826392384
3788,-0.00100798012272714
3784,-0.00120785117157942
3780,-0.00116585512901766
3776,-0.00106725408807905
3772,-0.00104284065988149
3768,-0.00102759205223622
3764,-0.00100202086026429
3760,-0.00110250190073662
3756,-0.00139747408698781
3752,-0.00171080318547689
3748,-0.00174114551122582
3744,-0.00144133520399677
3740,-0.00104717916217071
3736,-0.000761628737048756
3732,-0.000643060863190085
3728,-0.000589192899235606
3724,-0.000421933962483958
3720,-9.3351934130086E-05
3716,0.000231301699926726
3712,0.000356168653729478
3708,0.000321781315133951
3704,0.000333534474994433
3700,0.000425592843162844
3696,0.000459576660539275
3692,0.000392887554678002
3688,0.000345962128438432
3684,0.000343132555315242
3680,0.000172726110792118
3676,-0.000331736980965379
3672,-0.0009354619890689
3668,-0.0011261258536132
3664,-0.000887744710644907
3660,-0.000603296630907488
3656,-0.000447051959916362
3652,-0.000226611923074638
3648,0.000386746080600806
3644,0.00134528886240685
3640,0.00237576092826073
3636,0.00349847404815322
3632,0.00492749788374224
3628,0.0065230788210519
3624,0.00761704403083682
3620,0.00789988469995131
3616,0.00802943792943717
3612,0.00882549104764023
3608,0.0101865675562132
3604,0.0112979012984519
3600,0.0119455366068489
3596,0.0126278301049972
3592,0.0135678844540049
3588,0.0143477017888859
3584,0.0147481642413323
3580,0.0151833391553629
3576,0.0158599275131237
3572,0.0164210528016943
3568,0.016584977181211
3564,0.0166218022393012
3560,0.0168305175208838
3556,0.0169689821578015
3552,0.0166316845393481
3548,0.0157395995249354
3544,0.0145962872052298
3540,0.0136707869281725
3536,0.0131698336586373
3532,0.0128762239760755
3528,0.0123604206383436
3524,0.0115078776272127
3520,0.0106963851865264
3516,0.0101170790467086
3512,0.00956589390610254
3508,0.00895331496663133
3504,0.00853933274970961
3500,0.00835218132176989
3496,0.0077951433922678
3492,0.00654607796896528
3488,0.00538295640029672
3484,0.00513664248141875
3480,0.00522091393628775
3476,0.0042426762764459
3472,0.00229275096865909
3468,0.000778412496063929
3464,0.000228400727519142
3460,-0.0004293041034805
3456,-0.00189067151558644
3452,-0.00314906190032034
3448,-0.0032627373329095
3444,-0.00305132976263613
3440,-0.00355572066079253
3436,-0.003997573058287
3432,-0.00320370426313727
3428,-0.00222180458385228
3424,-0.00322489237034185
3420,-0.00630729827947081
3416,-0.00961129846439243
3412,-0.0120045335447164
3408,-0.0141577011828551
3404,-0.0165422236104634
3400,-0.0184712906879741
3396,-0.0196089333910284
3392,-0.0207929627725897
3388,-0.022673685059821
3384,-0.0246807735608129
3380,-0.0259102117030757
3376,-0.0263166880530549
3372,-0.0264321696968424
3368,-0.0271419065586189
3364,-0.0296545642264104
3360,-0.0337452223764078
3356,-0.0368234578617273
3352,-0.0361328687216949
3348,-0.0325256123251826
3344,-0.0296505038097741
3340,-0.028851057447615
3336,-0.0288019886895922
3332,-0.0290991446386348
3328,-0.0308092614527499
3324,-0.0336651172996591
3320,-0.0355462348039374
3316,-0.0353501877922708
3312,-0.0343915827700627
3308,-0.0336815228871014
3304,-0.0328381813994301
3300,-0.0321070046647096
3296,-0.0326027658175921
3292,-0.0340852010381888
3288,-0.0348245767200382
3284,-0.0343250023235843
3280,-0.0341601151478707
3276,-0.0352044035369121
3272,-0.0365486820659131
3268,-0.0374803934807901
3264,-0.0384388266018206
3260,-0.0393262385959142
3256,-0.0391692193205035
3252,-0.0380087128823451
3248,-0.0371061076720039
3244,-0.0369800219704259
3240,-0.037273571671739
3236,-0.0383153520872885
3232,-0.0406623814706368
3228,-0.0430539392192128
3224,-0.0432113535456655
3220,-0.0413181412922652
3216,-0.0399645290076838
